site_code,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
BO,2021-06-25,3.4,3.5,3.3,2.8,2.2,1.4,0.7,0.2,0,0,0.4,0.9,1.5,2,2.3,2.4,2.3,2,1.8,1.6,1.6,1.8,2.2,2.6
BO,2021-06-26,3.1,3.4,3.4,3.2,2.7,2,1.3,0.6,0.2,0,0.1,0.5,1.1,1.7,2.1,2.4,2.4,2.3,2,1.7,1.6,1.7,1.9,2.2
BO,2021-06-27,2.6,3,3.3,3.3,3,2.5,1.8,1.1,0.6,0.2,0.1,0.3,0.7,1.3,1.8,2.2,2.4,2.4,2.2,2,1.7,1.6,1.7,1.9
BO,2021-06-28,2.2,2.6,2.9,3.1,3,2.8,2.3,1.7,1.1,0.6,0.3,0.3,0.5,1,1.5,1.9,2.3,2.4,2.4,2.2,1.9,1.7,1.6,1.7
BO,2021-06-29,1.9,2.1,2.5,2.7,2.9,2.8,2.5,2.1,1.5,1,0.7,0.5,0.5,0.8,1.2,1.7,2.1,2.4,2.5,2.4,2.2,1.9,1.7,1.6
PP,2021-06-25,3.6,3.7,3.4,2.9,2.1,1.2,0.5,0,-0.2,0.1,0.6,1.3,2,2.6,2.8,2.8,2.5,2.1,1.6,1.4,1.4,1.6,2.1,2.7
PP,2021-06-26,3.3,3.6,3.6,3.3,2.7,1.9,1.1,0.4,0,-0.1,0.2,0.8,1.5,2.2,2.7,2.9,2.8,2.4,2,1.6,1.4,1.4,1.7,2.2
PP,2021-06-27,2.7,3.2,3.5,3.5,3.1,2.5,1.7,1,0.3,0,0.1,0.4,1,1.7,2.3,2.7,2.9,2.7,2.4,1.9,1.6,1.4,1.4,1.7
PP,2021-06-28,2.2,2.7,3.1,3.3,3.3,2.9,2.3,1.6,0.9,0.4,0.2,0.3,0.7,1.3,1.9,2.4,2.8,2.8,2.7,2.3,1.9,1.6,1.4,1.4
PP,2021-06-29,1.7,2.1,2.6,2.9,3.1,3,2.7,2.1,1.5,0.9,0.5,0.4,0.6,1,1.5,2.1,2.5,2.8,2.8,2.6,2.3,1.9,1.6,1.4
KE,2021-06-25,3.1,3.1,3,2.8,2.3,1.7,1,0.5,0,-0.2,-0.1,0.2,0.8,1.2,1.6,1.9,2,2,1.9,1.9,1.9,2,2.2,2.5
KE,2021-06-26,2.8,3,3.1,2.9,2.6,2.1,1.5,0.9,0.4,0,-0.2,0,0.4,0.9,1.4,1.7,2,2.1,2,1.9,1.9,1.9,2,2.2
KE,2021-06-27,2.5,2.8,2.9,2.9,2.8,2.5,2,1.4,0.8,0.3,0,0,0.2,0.6,1.1,1.5,1.8,2,2.1,2,1.9,1.9,1.9,2
KE,2021-06-28,2.1,2.4,2.6,2.7,2.7,2.5,2.2,1.8,1.2,0.7,0.4,0.2,0.2,0.4,0.8,1.3,1.6,1.9,2.1,2.1,2,1.9,1.9,1.9
KE,2021-06-29,1.9,2,2.2,2.4,2.5,2.5,2.3,2,1.6,1.1,0.8,0.5,0.4,0.4,0.7,1.1,1.5,1.8,2,2.1,2.1,2,1.9,1.9
SP,2021-06-25,2.9,2.9,3,2.9,2.7,2.3,1.8,1.3,0.7,0.2,-0.1,-0.1,0.2,0.6,1.1,1.6,2,2.2,2.3,2.4,2.5,2.6,2.5,2.6
SP,2021-06-26,2.7,2.8,2.9,2.9,2.8,2.6,2.2,1.7,1.1,0.6,0.1,-0.1,0,0.3,0.8,1.2,1.7,2,2.2,2.4,2.5,2.6,2.6,2.5
SP,2021-06-27,2.6,2.7,2.8,2.8,2.8,2.7,2.4,2,1.5,1,0.5,0.2,0,0.2,0.5,0.9,1.4,1.8,2.1,2.3,2.4,2.5,2.6,2.5
SP,2021-06-28,2.4,2.5,2.5,2.6,2.6,2.6,2.5,2.2,1.8,1.4,1,0.6,0.3,0.3,0.5,0.8,1.2,1.6,1.9,2.2,2.4,2.5,2.5,2.5
SP,2021-06-29,2.4,2.3,2.3,2.4,2.4,2.4,2.3,2.2,2,1.7,1.4,1,0.7,0.6,0.6,0.8,1.1,1.4,1.8,2.1,2.3,2.4,2.5,2.5
SN,2021-06-25,2.8,2.9,2.9,3,3,2.8,2.4,1.9,1.2,0.5,0,-0.3,-0.2,0.1,0.5,1.1,1.7,2.1,2.5,2.8,2.9,2.9,2.8,2.8
SN,2021-06-26,2.8,2.8,2.8,2.9,3,2.9,2.7,2.3,1.8,1.1,0.4,0,-0.2,-0.1,0.3,0.7,1.3,1.8,2.3,2.6,2.8,3,2.9,2.8
SN,2021-06-27,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.5,2.1,1.6,1,0.5,0.1,0,0.2,0.5,0.9,1.5,2,2.4,2.7,2.9,3,2.9
SN,2021-06-28,2.8,2.7,2.6,2.6,2.5,2.6,2.6,2.5,2.3,2,1.5,1,0.6,0.3,0.3,0.4,0.8,1.2,1.7,2.1,2.5,2.8,2.9,2.9
SN,2021-06-29,2.8,2.7,2.5,2.4,2.3,2.3,2.4,2.4,2.3,2.1,1.8,1.5,1.1,0.8,0.6,0.6,0.8,1.1,1.5,1.9,2.3,2.6,2.8,2.9
CE,2021-06-25,2.9,3,3.2,3.3,3.3,3.3,3,2.5,1.8,1.1,0.4,0,-0.2,0,0.4,1,1.7,2.3,2.9,3.3,3.5,3.4,3.3,3.1
CE,2021-06-26,3,2.9,3,3.1,3.2,3.3,3.2,2.8,2.3,1.6,0.9,0.3,0,-0.1,0.1,0.6,1.2,1.9,2.5,3,3.4,3.5,3.4,3.2
CE,2021-06-27,3,2.9,2.8,2.9,3,3.1,3.1,3,2.7,2.1,1.5,0.9,0.4,0.1,0.1,0.4,0.9,1.4,2.1,2.7,3.1,3.4,3.5,3.4
CE,2021-06-28,3.2,2.9,2.8,2.7,2.7,2.8,2.9,2.9,2.8,2.5,2,1.5,0.9,0.5,0.3,0.4,0.7,1.2,1.7,2.3,2.8,3.2,3.4,3.4
CE,2021-06-29,3.3,3,2.8,2.6,2.5,2.5,2.6,2.6,2.6,2.5,2.3,1.9,1.5,1,0.7,0.6,0.7,1.1,1.5,2,2.5,3,3.3,3.4
FC,2021-06-25,3,3.1,3.1,3.1,3,2.7,2.2,1.6,0.9,0.2,-0.2,-0.2,0,0.4,0.8,1.3,1.9,2.3,2.6,2.8,2.9,2.9,2.8,2.8
FC,2021-06-26,2.9,3,3,3,3,2.9,2.6,2.1,1.4,0.8,0.2,-0.1,-0.1,0.2,0.5,1,1.5,2,2.4,2.6,2.8,2.9,2.8,2.7
FC,2021-06-27,2.7,2.8,2.8,2.9,2.9,2.9,2.7,2.4,1.9,1.3,0.7,0.3,0.1,0.1,0.4,0.8,1.2,1.7,2.1,2.4,2.7,2.9,2.9,2.7
FC,2021-06-28,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.5,2.2,1.7,1.3,0.8,0.4,0.3,0.4,0.7,1,1.4,1.9,2.3,2.6,2.8,2.9,2.8
