1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 160000002B6C9821
Is Mission Active?  true
Mission Start:  Fri Apr 03 19:01:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  3287
Total Samples:  782696
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
03/04/20 7:01:00 PM,C,11.5
03/04/20 8:01:00 PM,C,5.5
03/04/20 9:01:00 PM,C,5.5
03/04/20 10:01:00 PM,C,7.5
03/04/20 11:01:00 PM,C,7.5
04/04/20 12:01:00 AM,C,7.5
04/04/20 1:01:00 AM,C,7.5
04/04/20 2:01:00 AM,C,7.5
04/04/20 3:01:00 AM,C,7.5
04/04/20 4:01:00 AM,C,7.5
04/04/20 5:01:00 AM,C,7.5
04/04/20 6:01:00 AM,C,7.5
04/04/20 7:01:00 AM,C,7.5
04/04/20 8:01:00 AM,C,7.5
04/04/20 9:01:00 AM,C,7.5
04/04/20 10:01:00 AM,C,7.5
04/04/20 11:01:00 AM,C,8
04/04/20 12:01:00 PM,C,8
04/04/20 1:01:00 PM,C,8
04/04/20 2:01:00 PM,C,8.5
04/04/20 3:01:00 PM,C,8.5
04/04/20 4:01:00 PM,C,10
04/04/20 5:01:00 PM,C,10
04/04/20 6:01:00 PM,C,10.5
04/04/20 7:01:00 PM,C,7
04/04/20 8:01:00 PM,C,5.5
04/04/20 9:01:00 PM,C,5
04/04/20 10:01:00 PM,C,5
04/04/20 11:01:00 PM,C,5.5
05/04/20 12:01:00 AM,C,7.5
05/04/20 1:01:00 AM,C,7.5
05/04/20 2:01:00 AM,C,7.5
05/04/20 3:01:00 AM,C,7.5
05/04/20 4:01:00 AM,C,7.5
05/04/20 5:01:00 AM,C,7.5
05/04/20 6:01:00 AM,C,7.5
05/04/20 7:01:00 AM,C,7.5
05/04/20 8:01:00 AM,C,7.5
05/04/20 9:01:00 AM,C,7.5
05/04/20 10:01:00 AM,C,7.5
05/04/20 11:01:00 AM,C,8
05/04/20 12:01:00 PM,C,8
05/04/20 1:01:00 PM,C,8
05/04/20 2:01:00 PM,C,8
05/04/20 3:01:00 PM,C,8.5
05/04/20 4:01:00 PM,C,8.5
05/04/20 5:01:00 PM,C,9
05/04/20 6:01:00 PM,C,10
05/04/20 7:01:00 PM,C,9.5
05/04/20 8:01:00 PM,C,7
05/04/20 9:01:00 PM,C,6.5
05/04/20 10:01:00 PM,C,5.5
05/04/20 11:01:00 PM,C,5
06/04/20 12:01:00 AM,C,7.5
06/04/20 1:01:00 AM,C,7.5
06/04/20 2:01:00 AM,C,7.5
06/04/20 3:01:00 AM,C,7.5
06/04/20 4:01:00 AM,C,7.5
06/04/20 5:01:00 AM,C,7.5
06/04/20 6:01:00 AM,C,7.5
